,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
47,47,mths_since_earliest_cr_line:165-247,0.05705565333462161,0.004398628956981462,mths_since_earliest_cr_line,4.913012781525353,5.0,0.08698721847464697,5.0
48,48,mths_since_earliest_cr_line:248-270,0.10569953919514435,5.554682300868288e-05,mths_since_earliest_cr_line,9.10169556768477,9.0,-0.10169556768476973,9.0
49,49,mths_since_earliest_cr_line:271-352,0.14597674717580977,4.359761916584836e-10,mths_since_earliest_cr_line,12.569930984298399,13.0,0.4300690157016014,13.0
50,50,mths_since_earliest_cr_line:>352,0.1530227937430773,7.642807629695959e-09,mths_since_earliest_cr_line,13.176659937890141,13.0,-0.17665993789014145,13.0
51,51,inq_last_6mths:0,0.26594316946189644,0.004237143827325031,inq_last_6mths,22.900135470586584,23.0,0.09986452941341639,23.0
52,52,inq_last_6mths:1-2,0.1215184448769515,0.19078748388533318,inq_last_6mths,10.463847804355463,10.0,-0.46384780435546347,10.0
53,53,inq_last_6mths:3-6,-0.08615565895356979,0.35628675681146804,inq_last_6mths,-7.418789005133996,-7.0,0.41878900513399575,-7.0
54,54,acc_now_delinq:>=1,0.14520792487067424,0.17301727208009343,acc_now_delinq,12.503728362978826,13.0,0.4962716370211737,13.0
55,55,annual_inc:20K-30K,-0.18076220478522004,2.7945377742137928e-05,annual_inc,-15.565276543553212,-16.0,-0.4347234564467879,-16.0
56,56,annual_inc:30K-40K,-0.1171212719434388,0.004821033690417652,annual_inc,-10.085211060013494,-10.0,0.08521106001349388,-10.0
57,57,annual_inc:40K-50K,-0.022237975854621648,0.5920573808980782,annual_inc,-1.9148927971824954,-2.0,-0.08510720281750461,-2.0
58,58,annual_inc:50K-60K,0.04251286890285685,0.31148783569724947,annual_inc,3.6607462379596747,4.0,0.3392537620403253,4.0
59,59,annual_inc:60K-70K,0.1210887365822151,0.0047806618162885214,annual_inc,10.426845996103687,10.0,-0.4268459961036868,10.0
60,60,annual_inc:70K-80K,0.19212358298764734,1.1150337998915072e-05,annual_inc,16.543594958328036,17.0,0.45640504167196383,17.0
61,61,annual_inc:80K-90K,0.268270217500401,3.6016236015680045e-09,annual_inc,23.100515557189834,23.0,-0.10051555718983352,23.0
62,62,annual_inc:90K-100K,0.2791594757370833,2.7731359818204104e-09,annual_inc,24.038180131537754,24.0,-0.03818013153775368,24.0
63,63,annual_inc:100K-120K,0.35953071734384096,1.196603758234702e-14,annual_inc,30.958877980097082,31.0,0.04112201990291808,31.0
64,64,annual_inc:120K-140K,0.48027971854196033,1.2228509127621379e-19,annual_inc,41.35646965718334,41.0,-0.35646965718333945,41.0
65,65,annual_inc:>140K,0.3861563176204346,1.632868372547568e-15,annual_inc,33.25158530758136,33.0,-0.2515853075813581,33.0
66,66,dti:<=1.4,0.05775569363571125,0.5009795643617767,dti,4.973292644182702,5.0,0.02670735581729833,5.0
67,67,dti:1.4-3.5,0.16791682231549088,0.021348965683170042,dti,14.459171809509863,14.0,-0.45917180950986314,14.0
68,68,dti:3.5-7.7,0.2013574777089397,0.001619233218785327,dti,17.338717617302837,17.0,-0.3387176173028372,17.0
69,69,dti:7.7-10.5,0.1349137350126803,0.033668931032380896,dti,11.617304610171084,12.0,0.3826953898289158,12.0
70,70,dti:10.5-16.1,0.05408237402361485,0.3801224990835461,dti,4.656986281007532,5.0,0.34301371899246824,5.0
71,71,dti:16.1-20.3,-0.04782500381402725,0.4382529715111817,dti,-4.118169563965663,-4.0,0.11816956396566258,-4.0
72,72,dti:20.3-21.7,-0.0658476759217858,0.3052874467192298,dti,-5.670086214597166,-6.0,-0.3299137854028338,-6.0
73,73,dti:21.7-22.4,-0.09510743923557892,0.1625701585796372,dti,-8.189619034631354,-8.0,0.1896190346313542,-8.0
74,74,dti:22.4-35,-0.13921170309480577,0.02261682841211349,dti,-11.987398910874802,-12.0,-0.012601089125197973,-12.0
75,75,mths_since_last_delinq:Missing,0.07677176304245827,0.14867939840649097,mths_since_last_delinq,6.610749873912291,7.0,0.3892501260877088,7.0
76,76,mths_since_last_delinq:4-30,0.10079218423431843,0.0604484884936492,mths_since_last_delinq,8.679127491834,9.0,0.32087250816599955,9.0
77,77,mths_since_last_delinq:31-56,0.14441704154524493,0.00787638389773248,mths_since_last_delinq,12.435626086351812,12.0,-0.435626086351812,16.0
78,78,mths_since_last_delinq:>=57,0.09507627795764718,0.08721462183125717,mths_since_last_delinq,8.186935764038179,8.0,-0.18693576403817858,8.0
79,79,mths_since_last_record:Missing,0.1350919231565078,0.10988441311868669,mths_since_last_record,11.632648236559982,12.0,0.3673517634400181,12.0
80,80,mths_since_last_record:3-20,0.23201473451809423,0.062436537850687375,mths_since_last_record,19.97858738912937,20.0,0.02141261087063029,20.0
81,81,mths_since_last_record:21-31,0.14896293445763126,0.19391543559051083,mths_since_last_record,12.82706897897832,13.0,0.17293102102168056,13.0
82,82,mths_since_last_record:32-80,0.3087265164764725,0.000484614870765093,mths_since_last_record,26.58417234395807,27.0,0.4158276560419303,27.0
83,83,mths_since_last_record:81-86,-0.06640645696066859,0.5245863719309829,mths_since_last_record,-5.718202364805884,-6.0,-0.28179763519411605,-6.0
84,84,mths_since_last_record:>86,0.03246096849254106,0.7098543997138989,mths_since_last_record,2.7951858191723167,3.0,0.20481418082768332,3.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term_60,0.0,,term_60,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
